o,c,h,l,v,time,interval,figi
398.01,357,427,338.26,3992369,2000-06-01T07:00:00Z,month,BBG004731032
380.0,350.0,416,344.02,8719292,2001-06-01T07:00:00Z,month,BBG004731032
556.34,510.0,569,415.25,11074934,2002-06-01T07:00:00Z,month,BBG004731032
562.95,599.92,609,540.01,22330923,2003-06-01T07:00:00Z,month,BBG004731032
802,760.66,836.1,701.1,42485860,2004-06-01T07:00:00Z,month,BBG004731032
984,1053.63,1060.9,972.1,42477378,2005-06-01T07:00:00Z,month,BBG004731032
2100.0,2229.04,2298.99,1666,81992796,2006-06-01T07:00:00Z,month,BBG004731032
1965,1969.62,2074.4,1926.22,43573014,2007-06-01T07:00:00Z,month,BBG004731032
2645,2318.01,2691.12,2237.32,78682127,2008-06-01T07:00:00Z,month,BBG004731032
1680.0,1379.48,1771,1300.0,55013215,2009-06-01T07:00:00Z,month,BBG004731032
1508,1510.0,1517.9,1476.1,2282446,2010-06-01T07:00:00Z,month,BBG004731032
1903,1819.5,1909.9,1680.0,44593463,2011-05-01T07:00:00Z,month,BBG004731032
1801.5,1729.1,1819.5,1500.0,43838873,2012-05-01T07:00:00Z,month,BBG004731032
1978.4,1878.2,2088.4,1871.1,19449060,2013-05-01T07:00:00Z,month,BBG004731032
1865,1968,2005.3,1850.5,21773791,2014-05-01T07:00:00Z,month,BBG004731032
2657,2461.3,2712,2461.3,16480703,2015-05-01T07:00:00Z,month,BBG004731032
2716,2570.0,2750.5,2523,23664811,2016-05-01T07:00:00Z,month,BBG004731032
2835.5,2753,2919,2715,13819696,2017-05-01T07:00:00Z,month,BBG004731032
4231.5,4243,4453.5,4068,14379220,2018-05-01T07:00:00Z,month,BBG004731032
5510.0,5268.5,5599.5,4980.0,28676159,2019-05-01T07:00:00Z,month,BBG004731032
4596,4832.5,5364,4281,52258487,2020-04-01T07:00:00Z,month,BBG004731032
